Date,Team,Nombre,Acquired,Relinquished,Notes,ID
11-12-15,Wizards,Bradley Beal,,Bradley Beal,stress reaction in right leg (DTD),203078
11-12-15,Wizards,Drew Gooden,,Drew Gooden,placed on IL with strained right calf,2400
11-12-15,Lakers,Anthony Brown,Anthony Brown,,activated from IL,1626148
12-12-15,Hawks,Tim Hardaway Jr.,,Tim Hardaway Jr.,placed on IL,203501
12-12-15,Hawks,Tiago Splitter,Tiago Splitter,,activated from IL,201168
12-12-15,Mavericks,Deron Williams,,Deron Williams,placed on IL with illness,101114
12-12-15,Pelicans,Jrue Holiday,,Jrue Holiday,leg injury (DTD),201950
12-12-15,Rockets,K.J. McDaniels,K.J. McDaniels,,activated from IL,203909
12-12-15,Rockets,Trevor Ariza,Trevor Ariza,,returned to lineup,2772
12-12-15,Spurs,Boban Marjanovic,,Boban Marjanovic,placed on IL,1626246
12-12-15,Spurs,Ray McCallum Jr.,,Ray McCallum Jr.,placed on IL (P),203492
12-12-15,Spurs,Tony Parker, Tony Parker,,activated from IL,2225
12-12-15,Spurs,Matt Bonner,Matt Bonner,,activated from IL,2588
12-12-15,Warriors,Klay Thompson,Klay Thompson,,returned to lineup,202691
12-12-15,Wizards,Kris Humphries,Kris Humphries,,returned to lineup,2743
12-12-15,Mavericks,Justin Anderson,Justin Anderson,,activated from IL,1626147
13-12-15,Grizzlies,Brandan Wright,,Brandan Wright,placed on IL with sore right knee,201148
13-12-15,Grizzlies,Tony Allen,,Tony Allen,sore right knee (DTD),2754
13-12-15,Grizzlies,Jarell Martin,Jarell Martin,,activated from IL,1626185
13-12-15,Raptors,Bruno Caboclo,,Bruno Caboclo,placed on IL,203998
13-12-15,Suns,Cory Jefferson,,Cory Jefferson,placed on IL,203928
13-12-15,Suns,Tyson Chandler,Tyson Chandler,,activated from IL,2199
13-12-15,Raptors,DeMarre Carroll,DeMarre Carroll,,activated from IL,201960
13-12-15,Grizzlies,James Ennis,James Ennis,,activated from IL,203516
13-12-15,Raptors,DeMarre Carroll,,DeMarre Carroll,bruised right knee (DTD),201960
14-12-15,76ers,Nerlens Noel,,Nerlens Noel,left eye corneal abrasion (DTD),203457
14-12-15,Hawks,Edy Tavares,,Edy Tavares,placed on IL,204002
14-12-15,Hawks,Mike Scott, Mike Scott,,activated from IL,203118
14-12-15,Mavericks,Justin Anderson,,Justin Anderson,placed on IL,1626147
14-12-15,Mavericks,Deron Williams,Deron Williams,,activated from IL,101114
14-12-15,Nuggets,Emmanuel Mudiay,,Emmanuel Mudiay,placed on IL with sprained right ankle,1626144
14-12-15,Pelicans,Toney Douglas,,Toney Douglas,placed on IL,201962
14-12-15,Pelicans,Jrue Holiday,Jrue Holiday,,returned to lineup,201950
14-12-15,Pelicans,Ryan Anderson,Ryan Anderson,,activated from IL,201583
14-12-15,Raptors,DeMarre Carroll,,DeMarre Carroll,bruised right knee (DTD),201960
14-12-15,Rockets,Clint Capela,,Clint Capela,illness (DTD),203991
14-12-15,76ers,Christian Wood,Christian Wood,,activated from IL,1626174
15-12-15,Bucks,Greg Monroe,,Greg Monroe,knee injury (DTD),202328
15-12-15,Bucks,Greivis Vasquez,,Greivis Vasquez,surgery on right ankle to remove bone spur and loose bodies (out indefinitely),202349
15-12-15,Cavaliers,J.R. Smith,J.R. Smith,,returned to lineup,2747
15-12-15,Celtics,R.J. Hunter,R.J. Hunter,,activated from IL,1626154
15-12-15,Lakers,Ron Artest,,Ron Artest,placed on IL,1897
15-12-15,Lakers,Jordan Clarkson,Jordan Clarkson,,activated from IL,203903
15-12-15,Nuggets,Darrell Arthur,Darrell Arthur,,returned to lineup,201589
15-12-15,Rockets,Clint Capela,Clint Capela,,returned to lineup,203991
15-12-15,Rockets,Montrezl Harrell,Montrezl Harrell,,activated from IL,1626149
16-12-15,Grizzlies,Brandan Wright,,Brandan Wright,surgery on right knee (date approximate),201148
16-12-15,Heat,Tyler Johnson,Tyler Johnson,,activated from IL,204020
16-12-15,Hornets,P.J. Hairston,,P.J. Hairston,placed on IL,203798
16-12-15,Jazz,Joe Ingles,,Joe Ingles,oral surgery (DTD),204060
16-12-15,Jazz,Rudy Gobert,,Rudy Gobert,placed on IL with sprained MCL in left knee,203497
16-12-15,Kings,Eric Moreland,,Eric Moreland,fractured left foot (surgery) (out indefinitely),203961
16-12-15,Mavericks,John Jenkins,,John Jenkins,placed on IL with concussion,203098
16-12-15,Mavericks,Justin Anderson,Justin Anderson,,activated from IL,1626147
16-12-15,Nets,Sergey Karasev,,Sergey Karasev,sore left ankle (DTD),203508
16-12-15,Nets,Shane Larkin,,Shane Larkin,concussion (DTD),203499
16-12-15,Spurs,Tim Duncan,,Tim Duncan,placed on IL for rest,1495
16-12-15,Spurs,Boban Marjanovic,Boban Marjanovic,,activated from IL,1626246
16-12-15,Timberwolves,Kevin Martin,,Kevin Martin,wrist injury (DTD),2755
16-12-15,Hornets,Al Jefferson,Al Jefferson,,activated from IL,2744
16-12-15,Jazz,Tibor Pleiss,Tibor Pleiss,,activated from IL,202353
17-12-15,Cavaliers,Iman Shumpert,,Iman Shumpert,placed on IL with strained right groin,202697
17-12-15,Cavaliers,Mo Williams,,Mo Williams,sprained right thumb (DTD),2590
17-12-15,Hornets,Nicolas Batum,,Nicolas Batum,placed on IL with illness,201587
17-12-15,Hornets,P.J. Hairston,P.J. Hairston,,activated from IL,203798
17-12-15,Raptors,DeMarre Carroll,,DeMarre Carroll,bruised right knee (DTD),201960
17-12-15,Thunder,Josh Huestis,Josh Huestis,,activated from IL,203962
17-12-15,Cavaliers,Joe Harris,Joe Harris,,activated from IL,203925
17-12-15,Pistons,Brandon Jennings,Brandon Jennings,,activated from IL,201943
18-12-15,76ers,Nerlens Noel,Nerlens Noel,,returned to lineup,203457
18-12-15,Blazers,Chris Kaman,,Chris Kaman,placed on IL with illness,2549
18-12-15,Blazers,Luis Montero,Luis Montero,,activated from IL,1626242
18-12-15,Bucks,Greg Monroe,Greg Monroe,,returned to lineup,202328
18-12-15,Heat,Chris Andersen,,Chris Andersen,illness (DTD),2365
18-12-15,Heat,Tyler Johnson,,Tyler Johnson,placed on IL with shoulder injury,204020
18-12-15,Heat,Jarnell Stokes,Jarnell Stokes,,activated from IL,203950
18-12-15,Jazz,Joe Ingles,Joe Ingles,,returned to lineup,204060
18-12-15,Mavericks,Devin Harris,,Devin Harris,strained right hamstring (DTD),2734
18-12-15,Mavericks,Justin Anderson,,Justin Anderson,placed on IL,1626147
18-12-15,Mavericks,John Jenkins,John Jenkins,,activated from IL,203098
18-12-15,Nets,Thomas Robinson,,Thomas Robinson,illness (DTD),203080
18-12-15,Pelicans,Alex Ajinca,,Alex Ajinca,calf injury (DTD),201582
18-12-15,Pistons,Aron Baynes,,Aron Baynes,back spasms (DTD),203382
18-12-15,Raptors,DeMarre Carroll,,DeMarre Carroll,bruised right knee (DTD),201960
18-12-15,Spurs,Rasual Butler,,Rasual Butler,placed on IL,2446
18-12-15,Spurs,Tim Duncan,Tim Duncan,,activated from IL,1495
18-12-15,Timberwolves,Kevin Martin,Kevin Martin,,returned to lineup,2755
19-12-15,Bulls,Pau Gasol,,Pau Gasol,placed on IL for rest,2200
19-12-15,Bulls,Cristiano Felicio,Cristiano Felicio,,activated from IL,1626245
19-12-15,Cavaliers,Kyrie Irving,Kyrie Irving,,activated from IL,202681
19-12-15,Hornets,P.J. Hairston,,P.J. Hairston,placed on IL,203798
19-12-15,Hornets,Nicolas Batum,Nicolas Batum,,activated from IL,201587
19-12-15,Lakers,Kobe Bryant,,Kobe Bryant,sore right shoulder (DTD),977
19-12-15,Lakers,Ryan Kelly,,Ryan Kelly,placed on IL,203527
19-12-15,Lakers,Ron Artest,Ron Artest,,activated from IL,1897
19-12-15,Thunder,Josh Huestis,,Josh Huestis,placed on IL,203962
19-12-15,Wizards,Bradley Beal,,Bradley Beal,sore right leg (DTD),203078
19-12-15,Wizards,Otto Porter Jr.,,Otto Porter Jr.,bruised left thigh (DTD),203490
20-12-15,Blazers,Luis Montero,,Luis Montero,placed on IL,1626242
20-12-15,Blazers,Chris Kaman,Chris Kaman,,activated from IL,2549
20-12-15,Bucks,Giannis Antetokounmpo,,Giannis Antetokounmpo,sore knee (DTD),203507
20-12-15,Bucks,Jason Kidd,,Jason Kidd,surgery on hip (out indefinitely),467
20-12-15,Cavaliers,Mo Williams,,Mo Williams,placed on IL with sprained right thumb,2590
20-12-15,Cavaliers,Iman Shumpert,Iman Shumpert,,activated from IL,202697
20-12-15,Heat,Chris Andersen,Chris Andersen,,returned to lineup,2365
20-12-15,Nets,Thomas Robinson,Thomas Robinson,,returned to lineup,203080
20-12-15,Pelicans,Alex Ajinca,,Alex Ajinca,placed on IL with calf injury,201582
20-12-15,Pelicans,Toney Douglas,Toney Douglas,,activated from IL,201962
20-12-15,Raptors,DeMarre Carroll,,DeMarre Carroll,placed on IL with bruised right knee,201960
20-12-15,Raptors,Bruno Caboclo,Bruno Caboclo,,activated from IL,203998
20-12-15,Cavaliers,Joe Harris,,Joe Harris,placed on IL (~CBC),203925
21-12-15,Blazers,C.J. McCollum,,C.J. McCollum,placed on IL with sore/sprained ankles,203468
21-12-15,Blazers,Damian Lillard,,Damian Lillard,placed on IL with sore left plantar fascia,203081
21-12-15,Blazers,Cliff Alexander,Cliff Alexander,,activated from IL,1626146
21-12-15,Blazers,Luis Montero,Luis Montero,,activated from IL,1626242
21-12-15,Bulls,Cristiano Felicio,,Cristiano Felicio,placed on IL,1626245
21-12-15,Bulls,Joakim Noah,,Joakim Noah,sprained left shoulder (DTD),201149
21-12-15,Bulls,Pau Gasol,Pau Gasol,,activated from IL,2200
21-12-15,Celtics,Amir Johnson,,Amir Johnson,placed on IL with foot injury,101161
21-12-15,Celtics,Jared Sullinger,,Jared Sullinger,back spasms (DTD),203096
21-12-15,Celtics,Jordan Mickey,Jordan Mickey,,activated from IL,1626175
21-12-15,Clippers,Austin Rivers,,Austin Rivers,sprained right ankle (DTD),203085
21-12-15,Clippers,Paul Pierce,,Paul Pierce,sore back (DTD),1718
21-12-15,Knicks,Kyle O'Quinn,,Kyle O'Quinn,placed on IL with sprained right ankle,203124
21-12-15,Knicks,Cleanthony Early,Cleanthony Early,,activated from IL,203921
21-12-15,Spurs,Matt Bonner,,Matt Bonner,placed on IL,2588
21-12-15,Spurs,Rasual Butler,Rasual Butler,,activated from IL,2446
21-12-15,Timberwolves,Kevin Garnett,,Kevin Garnett,rest (DTD),708
21-12-15,Wizards,Gary Neal,,Gary Neal,sore lower back (DTD),202390
22-12-15,76ers,Kendall Marshall,,Kendall Marshall,sore right knee (DTD),203088
22-12-15,Grizzlies,Tony Allen,Tony Allen,,returned to lineup,2754
22-12-15,Heat,Goran Dragic,,Goran Dragic,placed on IL with sore left calf (P) / wrist injury (CBC),201609
22-12-15,Lakers,Kobe Bryant,Kobe Bryant,,returned to lineup,977
22-12-15,Mavericks,Deron Williams,,Deron Williams,strained left hamstring (DTD),101114
22-12-15,Mavericks,Devin Harris,,Devin Harris,placed on IL with strained right hamstring,2734
22-12-15,Mavericks,Justin Anderson,Justin Anderson,,activated from IL,1626147
22-12-15,Nuggets,Danilo Gallinari,,Danilo Gallinari,placed on IL with sprained left ankle,201568
22-12-15,Nuggets,Jusuf Nurkic,Jusuf Nurkic,,activated from IL,203994
22-12-15,Pistons,Spencer Dinwiddie,,Spencer Dinwiddie,placed on IL,203915
22-12-15,Pistons,Aron Baynes,Aron Baynes,,returned to lineup,203382
22-12-15,Pistons,Brandon Jennings,Brandon Jennings,,activated from IL,201943
22-12-15,Raptors,Bruno Caboclo,,Bruno Caboclo,placed on IL,203998
22-12-15,Raptors,James Johnson,,James Johnson,sprained left ankle (DTD),201949
22-12-15,Raptors,Delon Wright,Delon Wright,,activated from IL,1626153
23-12-15,76ers,Christian Wood,,Christian Wood,placed on IL,1626174
23-12-15,76ers,Tony Wroten Jr.,,Tony Wroten Jr.,sore right knee (DTD),203100
23-12-15,Blazers,Cliff Alexander,,Cliff Alexander,placed on IL,1626146
23-12-15,Blazers,C.J. McCollum,C.J. McCollum,,activated from IL,203468
23-12-15,Bucks,Giannis Antetokounmpo,Giannis Antetokounmpo,,returned to lineup,203507
23-12-15,Cavaliers,Sasha Kaun,,Sasha Kaun,placed on IL,201619
23-12-15,Cavaliers,Mo Williams,Mo Williams,,activated from IL,2590
23-12-15,Celtics,Jared Sullinger,Jared Sullinger,,returned to lineup,203096
23-12-15,Knicks,Carmelo Anthony,,Carmelo Anthony,sprained right ankle (DTD),2546
23-12-15,Lakers,Julius Randle,,Julius Randle,sprained left ankle (DTD),203944
23-12-15,Lakers,Nick Young,,Nick Young,placed on IL with gastroenteritis,201156
23-12-15,Mavericks,Deron Williams,,Deron Williams,placed on IL with strained left hamstring,101114
23-12-15,Mavericks,Salah Mejri,Salah Mejri,,activated from IL,1626257
23-12-15,Nets,Shane Larkin,Shane Larkin,,returned to lineup,203499
23-12-15,Nuggets,Jameer Nelson,,Jameer Nelson,illness (DTD),2749
23-12-15,Timberwolves,Damjan Rudez,,Damjan Rudez,placed on IL,204014
23-12-15,Timberwolves,Tyus Jones,Tyus Jones,,activated from IL,1626145
23-12-15,Wizards,Gary Neal,Gary Neal,,returned to lineup,202390
23-12-15,76ers,Carl Landry,Carl Landry,,activated from IL,201171
23-12-15,Lakers,Ryan Kelly,Ryan Kelly,,activated from IL,203527
25-12-15,Bulls,Joakim Noah,,Joakim Noah,placed on IL with sprained left shoulder,201149
25-12-15,Bulls,Cristiano Felicio,Cristiano Felicio,,activated from IL,1626245
25-12-15,Clippers,Austin Rivers,,Austin Rivers,placed on IL,203085
25-12-15,Clippers,Branden Dawson,Branden Dawson,,activated from IL,1626183
25-12-15,Clippers,Paul Pierce,Paul Pierce,,returned to lineup,1718
25-12-15,Heat,Goran Dragic,Goran Dragic,,activated from IL,201609
25-12-15,Lakers,Ryan Kelly,,Ryan Kelly,placed on IL with neck injury,203527
25-12-15,Lakers,Julius Randle,Julius Randle,,returned to lineup,203944
25-12-15,Lakers,Nick Young,Nick Young,,activated from IL,201156
25-12-15,Spurs,Rasual Butler,,Rasual Butler,placed on IL,2446
25-12-15,Spurs,Matt Bonner,Matt Bonner,,activated from IL,2588
26-12-15,76ers,Jahlil Okafor,,Jahlil Okafor,sore right knee (DTD),1626143
26-12-15,Cavaliers,Kyrie Irving,,Kyrie Irving,placed on IL for rest,202681
26-12-15,Cavaliers,Sasha Kaun,Sasha Kaun,,activated from IL,201619
26-12-15,Celtics,David Lee,,David Lee,placed on IL with sore lower back,101135
26-12-15,Celtics,Amir Johnson,Amir Johnson,,activated from IL,101161
26-12-15,Clippers,Blake Griffin,,Blake Griffin,placed on IL with torn left quadriceps tendon,201933
26-12-15,Grizzlies,James Ennis,,James Ennis,placed on IL,203516
26-12-15,Hornets,Spencer Hawes,,Spencer Hawes,tightness in lower back (DTD),201150
26-12-15,Jazz,Derrick Favors,,Derrick Favors,back spasms / sore lower back (DTD),202324
26-12-15,Knicks,Cleanthony Early,,Cleanthony Early,placed on IL,203921
26-12-15,Knicks,Lou Amundson,,Lou Amundson,back spasms (DTD),200811
26-12-15,Knicks,Carmelo Anthony,Carmelo Anthony,,returned to lineup,2546
26-12-15,Knicks,Kyle O'Quinn,Kyle O'Quinn,,activated from IL,203124
26-12-15,Mavericks,Devin Harris,Devin Harris,,activated from IL,2734
26-12-15,Nets,Sergey Karasev,Sergey Karasev,,returned to lineup,203508
26-12-15,Nuggets,Jameer Nelson,Jameer Nelson,,returned to lineup,2749
26-12-15,Raptors,Norman Powell,,Norman Powell,placed on IL,1626181
26-12-15,Raptors,DeMarre Carroll,DeMarre Carroll,,activated from IL,201960
26-12-15,Raptors,James Johnson,James Johnson,,returned to lineup,201949
26-12-15,Spurs,Manu Ginobili,,Manu Ginobili,placed on IL for rest,1938
26-12-15,Spurs,Tim Duncan,,Tim Duncan,placed on IL with right knee injury,1495
26-12-15,Spurs,Rasual Butler,Rasual Butler,,activated from IL,2446
26-12-15,Spurs,Ray McCallum Jr.,Ray McCallum Jr.,,activated from IL,203492
26-12-15,Suns,Eric Bledsoe,,Eric Bledsoe,sprained left knee (out for season),202339
26-12-15,Suns,Cory Jefferson,Cory Jefferson,,activated from IL,203928
26-12-15,Wizards,Gary Neal,,Gary Neal,strained right quadricep (DTD),202390
26-12-15,Wizards,Otto Porter Jr.,Otto Porter Jr.,,returned to lineup,203490
26-12-15,Clippers,Austin Rivers,Austin Rivers,,activated from IL,203085
26-12-15,Grizzlies,Jordan Adams,Jordan Adams,,activated from IL,203919
26-12-15,Mavericks,Justin Anderson,,Justin Anderson,placed on IL,1626147
26-12-15,Mavericks,Salah Mejri,,Salah Mejri,placed on IL,1626257
26-12-15,Mavericks,Deron Williams,Deron Williams,,activated from IL,101114
26-12-15,Clippers,Austin Rivers,,Austin Rivers,sprained right ankle (DTD),203085
26-12-15,Grizzlies,Jordan Adams,,Jordan Adams,sore right knee (out for season),203919
26-12-15,Mavericks,Deron Williams,,Deron Williams,strained left hamstring (DTD),101114
27-12-15,Blazers,Ed Davis,,Ed Davis ,placed on IL with ankle injury,202334
27-12-15,Blazers,Cliff Alexander,Cliff Alexander,,activated from IL,1626146
27-12-15,Celtics,Jordan Mickey,,Jordan Mickey,placed on IL,1626175
27-12-15,Celtics,Marcus Smart,Marcus Smart,,activated from IL,203935
27-12-15,Hawks,Tiago Splitter,,Tiago Splitter,strained calf (DTD),201168
27-12-15,Jazz,Alec Burks,,Alec Burks,fractured fibula in left leg (out indefinitely),202692
27-12-15,Kings,Eric Moreland,,Eric Moreland,placed on IL,203961
27-12-15,Kings,Duje Dukan,Duje Dukan,,activated from IL,1626251
27-12-15,Knicks,Lou Amundson,,Lou Amundson,placed on IL with back spasms,200811
27-12-15,Knicks,Cleanthony Early,Cleanthony Early,,activated from IL,203921
27-12-15,Lakers,Ron Artest,,Ron Artest,placed on IL,1897
27-12-15,Lakers,Ryan Kelly,Ryan Kelly,,activated from IL,203527
28-12-15,Bucks,Damien Inglis,,Damien Inglis,placed on IL with sore ankle,203996
28-12-15,Bucks,John Henson,,John Henson,elbow injury (DTD),203089
28-12-15,Bucks,Jerryd Bayless,Jerryd Bayless,,activated from IL,201573
28-12-15,Bulls,Doug McDermott,,Doug McDermott,sore right knee (DTD),203926
28-12-15,Cavaliers,Sasha Kaun,,Sasha Kaun,placed on IL,201619
28-12-15,Cavaliers,Kyrie Irving,Kyrie Irving,,activated from IL,202681
28-12-15,Clippers,Austin Rivers,Austin Rivers,,returned to lineup,203085
28-12-15,Hawks,Tiago Splitter,,Tiago Splitter,placed on IL with strained calf,201168
28-12-15,Hawks,Edy Tavares,Edy Tavares,,activated from IL,204002
28-12-15,Heat,Jarnell Stokes,,Jarnell Stokes,placed on IL,203950
28-12-15,Heat,Justise Winslow,,Justise Winslow,ankle injury (DTD),1626159
28-12-15,Heat,Tyler Johnson,Tyler Johnson,,activated from IL,204020
28-12-15,Hornets,Spencer Hawes,,Spencer Hawes,placed on IL,201150
28-12-15,Hornets,P.J. Hairston,P.J. Hairston,,activated from IL,203798
28-12-15,Jazz,Alec Burks,,Alec Burks,placed on IL with fractured fibula in left leg,202692
28-12-15,Kings,Duje Dukan,,Duje Dukan,bone bruise (DTD),1626251
28-12-15,Kings,Kosta Koufos,,Kosta Koufos,illness (DTD),201585
28-12-15,Magic,Roy Marble,Roy Marble ,,activated from IL,77460
28-12-15,Mavericks,Deron Williams,,Deron Williams,placed on IL with strained left hamstring,101114
28-12-15,Mavericks,Justin Anderson,Justin Anderson,,activated from IL,1626147
28-12-15,Pacers,C.J. Miles,,C.J. Miles,sore lower back (DTD),101139
28-12-15,Pelicans,Alex Ajinca,Alex Ajinca,,activated from IL,201582
28-12-15,Raptors,Bruno Caboclo,,Bruno Caboclo,placed on IL,203998
28-12-15,Raptors,Jonas Valanciunas,Jonas Valanciunas,,activated from IL,202685
28-12-15,Spurs,Rasual Butler,,Rasual Butler,placed on IL,2446
28-12-15,Spurs,Tim Duncan,,Tim Duncan,right knee injury (DTD),1495
28-12-15,Spurs,Manu Ginobili,Manu Ginobili,,activated from IL,1938
28-12-15,Suns,Eric Bledsoe,,Eric Bledsoe,placed on IL with sprained left knee (out for season),202339
28-12-15,Suns,Bryce Cotton,Bryce Cotton,,activated from IL,203955
28-12-15,Warriors,Leandro Barbosa,,Leandro Barbosa,sprained left shoulder (DTD),2571
29-12-15,Bucks,John Henson,John Henson,,returned to lineup,203089
29-12-15,Cavaliers,Kyrie Irving,,Kyrie Irving,placed on IL,202681
29-12-15,Cavaliers,Sasha Kaun,Sasha Kaun,,activated from IL,201619
29-12-15,Hawks,Dennis Schroder,,Dennis Schroder,DNP,203471
29-12-15,Jazz,Alec Burks,,Alec Burks,surgery on left leg to repair fractured fibula (date approximate),202692
29-12-15,Pacers,Jordan Hill,,Jordan Hill,dental work (DTD),201941
29-12-15,Rockets,Terrence Jones,,Terrence Jones,illness (DTD),203093
29-12-15,Suns,Eric Bledsoe,,Eric Bledsoe,surgery on left knee to repair torn meniscus (out for season),202339
30-12-15,76ers,Jahlil Okafor,Jahlil Okafor,,returned to lineup,1626143
30-12-15,Blazers,Cliff Alexander,,Cliff Alexander,placed on IL,1626146
30-12-15,Blazers,Ed Davis,Ed Davis ,,activated from IL,202334
30-12-15,Bulls,Derrick Rose,,Derrick Rose,right hamstring tendinitis/tightness (DTD),201565
30-12-15,Bulls,Doug McDermott,Doug McDermott,,returned to lineup,203926
30-12-15,Celtics,Terry Rozier,,Terry Rozier,placed on IL,1626179
30-12-15,Celtics,David Lee,David Lee,,activated from IL,101135
30-12-15,Hornets,Al Jefferson,,Al Jefferson,torn lateral meniscus in right knee (out indefinitely),2744
30-12-15,Hornets,Jeremy Lin,,Jeremy Lin,sprained right ankle (DTD),202391
30-12-15,Kings,Kosta Koufos,Kosta Koufos,,returned to lineup,201585
30-12-15,Knicks,Cleanthony Early,,Cleanthony Early,knee injury (from gunshot wound) (DTD),203921
30-12-15,Pacers,Myles Turner,Myles Turner,,returned to lineup,1626167
30-12-15,Suns,Ronnie Price,,Ronnie Price,placed on IL with toe injury,101179
30-12-15,Warriors,Festus Ezeli,,Festus Ezeli,sore left toe (DTD),203105
30-12-15,Warriors,Leandro Barbosa,,Leandro Barbosa,sprained left shoulder (DTD),2571
30-12-15,Warriors,Stephen Curry,,Stephen Curry,bruised lower left leg (DTD),201939
31-12-15,Hornets,Al Jefferson,,Al Jefferson,surgery on right knee to repair torn lateral meniscus (out indefinitely),2744
31-12-15,Pacers,Ian Mahinmi,,Ian Mahinmi,placed on IL with knee injury,101133
31-12-15,Pacers,C.J. Miles,C.J. Miles,,returned to lineup,101139
31-12-15,Rockets,Terrence Jones,Terrence Jones,,returned to lineup,203093
31-12-15,Suns,Jon Leuer,,Jon Leuer,ankle injury (DTD),202720
31-12-15,Thunder,Steve Novak,,Steve Novak,placed on IL,200779
31-12-15,Thunder,Mitch McGary,Mitch McGary,,activated from IL,203956
31-12-15,Timberwolves,Kevin Garnett,,Kevin Garnett,placed on IL for rest,708
31-12-15,Timberwolves,Damjan Rudez,Damjan Rudez,,activated from IL,204014
31-12-15,Warriors,Leandro Barbosa,,Leandro Barbosa,sprained left shoulder (DTD),2571
31-12-15,Pacers,Rakeem Christmas,Rakeem Christmas,,activated from IL,1626176
31-12-15,Pacers,Shayne Whittington,Shayne Whittington,,activated from IL,203963
01-01-16,76ers,Hollis Thompson,,Hollis Thompson,corneal abrasion in right eye (DTD),203138
01-01-16,Hornets,Al Jefferson,,Al Jefferson,placed on IL recovering from surgery on right knee to repair torn lateral meniscus,2744
01-01-16,Knicks,Cleanthony Early,,Cleanthony Early,placed on IL with knee injury (from gunshot wound),203921
01-01-16,Lakers,Kobe Bryant,,Kobe Bryant,placed on IL with sore right shoulder,977
01-01-16,Lakers,Ron Artest,Ron Artest,,activated from IL,1897
01-01-16,Mavericks,Devin Harris,,Devin Harris,back spasms (DTD),2734
01-01-16,Mavericks,Justin Anderson,,Justin Anderson,placed on IL,1626147
01-01-16,Mavericks,Deron Williams,Deron Williams,,activated from IL,101114
01-01-16,Raptors,Anthony Bennett,,Anthony Bennett,placed on IL,203461
01-01-16,Wizards,DeJuan Blair,,DeJuan Blair,sore right knee (DTD),201971
01-01-16,Wizards,Drew Gooden,Drew Gooden,,activated from IL,2400
01-01-16,Hornets,Spencer Hawes,Spencer Hawes,,activated from IL,201150
01-01-16,Raptors,Bruno Caboclo,Bruno Caboclo,,activated from IL,203998
01-01-16,Hornets,Spencer Hawes,,Spencer Hawes,sore lower back (DTD),201150
02-01-16,Cavaliers,Sasha Kaun,,Sasha Kaun,placed on IL,201619
02-01-16,Cavaliers,Kyrie Irving,Kyrie Irving,,activated from IL,202681
02-01-16,Celtics,Avery Bradley,,Avery Bradley,bruised left hip (DTD),202340
02-01-16,Celtics,R.J. Hunter,,R.J. Hunter,left shoulder subluxation (DTD),1626154
02-01-16,Hornets,Nicolas Batum,,Nicolas Batum,sprained toe on right foot (DTD),201587
02-01-16,Hornets,Jeremy Lin,Jeremy Lin,,returned to lineup,202391
02-01-16,Kings,Willie Cauley-Stein,Willie Cauley-Stein,,activated from IL,1626161
02-01-16,Mavericks,Devin Harris,,Devin Harris,placed on IL with strained back,2734
02-01-16,Mavericks,Justin Anderson,Justin Anderson,,activated from IL,1626147
02-01-16,Nuggets,Kostas Papanikolaou,,Kostas Papanikolaou,sprained left ankle (DTD),203123
02-01-16,Nuggets,Danilo Gallinari,Danilo Gallinari,,activated from IL,201568
02-01-16,Nuggets,Jusuf Nurkic,Jusuf Nurkic,,returned to lineup,203994
02-01-16,Pacers,Rakeem Christmas,,Rakeem Christmas,placed on IL,1626176
02-01-16,Pacers,Shayne Whittington,,Shayne Whittington,placed on IL,203963
02-01-16,Pacers,Ian Mahinmi,Ian Mahinmi,,activated from IL,101133
02-01-16,Pacers,Jordan Hill,Jordan Hill,,returned to lineup,201941
02-01-16,Pelicans,Tyreke Evans,,Tyreke Evans,right knee tendinitis (DTD),201936
02-01-16,Rockets,Donatas Motiejunas,,Donatas Motiejunas,sore back (DTD),202700
02-01-16,Spurs,Tim Duncan,Tim Duncan,,returned to lineup,1495
02-01-16,Spurs,Tim Duncan,Tim Duncan,,activated from IL (P),1495
02-01-16,Suns,Cory Jefferson,,Cory Jefferson,placed on IL,203928
02-01-16,Suns,Jon Leuer,Jon Leuer,,returned to lineup,202720
02-01-16,Suns,Ronnie Price,Ronnie Price,,activated from IL,101179
02-01-16,Timberwolves,Damjan Rudez,,Damjan Rudez,placed on IL,204014
02-01-16,Timberwolves,Kevin Garnett,Kevin Garnett,,activated from IL,708
02-01-16,Warriors,Brandon Rush,,Brandon Rush,tightness in right hamstring (DTD),201575
02-01-16,Warriors,James McAdoo,,James McAdoo ,sprained toe on left foot (DTD),203949
02-01-16,Warriors,Leandro Barbosa,,Leandro Barbosa,placed on IL with sprained left shoulder,2571
02-01-16,Warriors,Stephen Curry,Stephen Curry,,returned to lineup,201939
02-01-16,Wizards,Drew Gooden,,Drew Gooden,strained right calf (DTD),2400
02-01-16,Spurs,Ray McCallum Jr.,,Ray McCallum Jr.,placed on IL,203492
02-01-16,Warriors,Harrison Barnes,Harrison Barnes,,activated from IL (P),203084
02-01-16,Warriors,Harrison Barnes,,Harrison Barnes,sprained left ankle (DTD) (P),203084
03-01-16,Heat,Justise Winslow,Justise Winslow,,returned to lineup,1626159
03-01-16,Lakers,Robert Sacre,,Robert Sacre,placed on IL,203135
03-01-16,Nets,Jarrett Jack,,Jarrett Jack,torn ACL in right knee (out for season),101127
03-01-16,Nuggets,Kostas Papanikolaou,Kostas Papanikolaou,,returned to lineup,203123
